title,pubDate,link,source,timestamp_extract
Paulo Barreto: “Bolsonaro brigar com os dados não vai enganar o resto do mundo” - Agência Pública,"Wed, 11 Sep 2019 07:00:00 GMT",https://apublica.org/2019/09/paulo-barreto-bolsonaro-brigar-com-os-dados-nao-vai-enganar-o-resto-do-mundo/,Agência Pública,1573072613
Bolsonaro: governo tem monitorado caminhoneiros para se antecipar a problemas - Canal Rural,"Mon, 22 Jul 2019 07:00:00 GMT",https://canalrural.uol.com.br/noticias/bolsonaro-governo-tem-monitorado-caminhoneiros-para-se-antecipar-a-problemas/,Canal Rural,1573072613
Novacap faz testes na ponte do Bragueto - Agência Brasília,"Mon, 17 Jun 2019 07:00:00 GMT",https://www.agenciabrasilia.df.gov.br/2019/06/17/novacap-faz-testes-na-ponte-do-bragueto/,Agência Brasília,1573072613
Moro anuncia sistema nacional de dados sobre criminalidade no país - G1,"Fri, 15 Mar 2019 07:00:00 GMT",https://g1.globo.com/politica/noticia/2019/03/15/moro-anuncia-sistema-nacional-de-dados-sobre-criminalidade-no-pais.ghtml,G1,1573072613
"Governo Bolsonaro blinda Previdência, mas libera pareceres de outros projetos de lei - Folha de S.Paulo","Mon, 22 Apr 2019 07:00:00 GMT",https://www1.folha.uol.com.br/mercado/2019/04/governo-bolsonaro-blinda-previdencia-mas-libera-pareceres-de-outros-projetos-de-lei.shtml,Folha de S.Paulo,1573072613
Um passo a passo para ler os dados do Inpe sobre desmate - Nexo Jornal,"Wed, 07 Aug 2019 07:00:00 GMT",https://www.nexojornal.com.br/expresso/2019/08/07/Um-passo-a-passo-para-ler-os-dados-do-Inpe-sobre-desmate,Nexo Jornal,1573072613
InteliGov: a startup que monitora os projetos legislativos para as empresas - Gazeta do Povo,"Fri, 14 Jun 2019 07:00:00 GMT",https://www.gazetadopovo.com.br/economia/cubo/inteligov-monitora-parlamentares-projetos-de-lei-para-empresas/,Gazeta do Povo,1573072613
"Monitoramento da Amazônia pelo Inpe é o melhor do mundo, diz especialista - EXAME","Sat, 17 Aug 2019 07:00:00 GMT",https://exame.abril.com.br/brasil/monitoramento-da-amazonia-pelo-inpe-e-o-melhor-do-mundo-diz-especialista/,EXAME,1573072613
Robô que fiscaliza despesas duvidosas de deputados é bloqueado no Twitter - Folha de S.Paulo,"Sun, 17 Feb 2019 08:00:00 GMT",https://www1.folha.uol.com.br/tec/2019/02/robo-que-monitora-despesas-de-deputados-e-bloqueado-no-twitter.shtml,Folha de S.Paulo,1573072613
"Reforma da Previdência: governo prioriza 'Centrão' ao liberar R$ 2,5 bi em emendas antes de votação - UOL","Wed, 10 Jul 2019 07:00:00 GMT",https://economia.uol.com.br/noticias/bbc/2019/07/10/reforma-da-previdencia-governo-prioriza-centrao-ao-liberar-r-25-bi-em-emendas-antes-de-votacao.htm,UOL,1573072613
Bolsonaro na ONU: checamos o discurso do presidente na Assembleia Geral - Agência Lupa,"Tue, 24 Sep 2019 07:00:00 GMT",https://piaui.folha.uol.com.br/lupa/2019/09/24/bolsonaro-onu/,Agência Lupa,1573072613
Sistema que monitora em tempo real nível de água dos rios está parado desde 2017 - Jornal O Globo,"Fri, 12 Apr 2019 07:00:00 GMT",https://oglobo.globo.com/rio/sistema-que-monitora-em-tempo-real-nivel-de-agua-dos-rios-esta-parado-desde-2017-23593174,Jornal O Globo,1573072613
Um terço do que governo quer remanejar são cortes da Educação - Zero Hora,"Fri, 23 Aug 2019 07:00:00 GMT",https://gauchazh.clicrbs.com.br/educacao-e-emprego/noticia/2019/08/um-terco-do-que-governo-quer-remanejar-sao-cortes-da-educacao-cjzoh6x5d05j101pak6g84bfh.html,Zero Hora,1573072613
Desmatamento no Cerrado é o menor já registrado - O Eco,"Tue, 11 Dec 2018 08:00:00 GMT",https://www.oeco.org.br/noticias/desmatamento-no-cerrado-e-o-menor-ja-registrado/,O Eco,1573072613
